file,condition,query,generated_response,top_retrieval_sources,ifs_adherence_score,grounding_score,specificity_score,retrieval_relevance_score,genericity_flag,hallucination_flag,notes,reviewer
v001__v001_w1__hierarchical.json,hierarchical,"Client: I keep putting off my work, and then I feel even worse about myself.
Coach: What do you notice inside right before you pull away from it?
Client: It feels like something in me just shuts everything down.
Coach: Can you say a little more about that shutting-down part?","It sounds like this shutting-down part is working very hard to protect you. In an IFS framework, we understand that every part has a positive intention, even if its actions—like pulling away from work—lead to difficult feelings later. This part might be trying to shield your system from feeling overwhelmed or flooded by emotions that it senses are nearby.

When you feel this ""shutdown"" happening, I invite you to see if you can ""find"" it in, on, or around your body. You might notice it as a specific physical sensation, a foggy feeling, or a certain weight. Taking a moment to ""focus"" on and ""flesh out"" how you experience this part helps you move from being engulfed by the feeling to being a compassionate observer of it. This process is a way of getting to know the part rather than just being taken over by it.

As you stay with this part, we can gently wonder what it might be afraid would happen if it *didn't* shut everything down. Protective parts often carry fears that if they stop their job, the internal system will be overwhelmed by even more painful feelings or wounds from the past. Approaching this part with curiosity and gratitude for its hard work can help it feel safe enough to share more about what it is trying to do for you.

**Grounding notes:**
*   Internal multiplicity is normal; we all have parts that take on specific roles, like ""protectors,"" to help us navigate difficult situations.
*   The ""6 Fs"" (Find, Focus, Flesh out, Feel toward, Befriend, Fear) are steps used to help a person differentiate from a part and understand its purpose.
*   Protective parts often act out of a fear that the person will be overwhelmed by ""exiled"" emotional pain if they stop their behavior.
*   Approaching a part with curiosity and non-judgmental interest helps the part ""unblend,"" allowing the person to feel more calm and clear-headed.",Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment ; Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment ; Internal Family Systems Therapy for Addictions | SEC01 > Overview,5,4,2,3,no,no,strong IFS framing; explicit grounding behavior; could be more case-specific,auto_eval_v2
v001__v001_w1__medium_overlap.json,medium_overlap,"Client: I keep putting off my work, and then I feel even worse about myself.
Coach: What do you notice inside right before you pull away from it?
Client: It feels like something in me just shuts everything down.
Coach: Can you say a little more about that shutting-down part?","It sounds like this shutting-down part is working very hard to protect you, even if its way of helping feels frustrating right now. In an IFS approach, we see this ""shutting down"" not as a failure of will, but as a protective part that may be trying to prevent you from becoming overwhelmed. It is common for these types of parts to step in and create a sense of numbness or ""hypo-arousal"" when the system senses a threat or extreme pressure.

As you notice this part, you might check to see if you can find where it lives in or around your body. Sometimes, focusing on the physical sensations—like a sense of heaviness or a ""pull"" in the chest or stomach—can help you stay present with the part without becoming fully blended with its numbness. There also seems to be another part present: the one that ""feels worse"" and criticizes the shutdown. We can hold space for both of these parts, acknowledging that the shutting-down part likely has a very important reason for its actions, perhaps fearing that if you didn't stop, you might collapse or experience even deeper pain.

By approaching the shutdown with curiosity rather than judgment, we can begin to understand what it is protecting. We don't need to pressure it to change or move out of the way; instead, we can appreciate the difficult job it has been doing to keep your system balanced.

**Grounding notes:**
*   Protective parts, such as those that cause shutdown or numbness, often do so to prevent the system from being overwhelmed by intense emotions or ""exiles.""
*   Shutdown can manifest as a top-down process that limits access to thoughts and feelings, often taking longer to recover from than a ""fight-or-flight"" response.
*   Focusing on specific body sensations can help a person stay present and regulated when a part is moving toward dissociation or collapse.
*   Inner conflict often involves a ""polarization"" where one part shuts down to protect the system, while another part (a manager) strains to keep working to avoid failure.",Internal Family Systems Therapy: New Dimensions | CH06 > Embodying Ifs ; Internal Family Systems Therapy | PT01 > 01 Origins ; Transcending Trauma | SEC03 > Neuroscience,4,4,4,3,no,no,strong IFS framing; explicit grounding behavior,auto_eval_v2
v001__v001_w1__small_fixed.json,small_fixed,"Client: I keep putting off my work, and then I feel even worse about myself.
Coach: What do you notice inside right before you pull away from it?
Client: It feels like something in me just shuts everything down.
Coach: Can you say a little more about that shutting-down part?","It sounds like a very effective protector is stepping in to shut things down, perhaps to keep your system from feeling overwhelmed by the ""bad"" feelings you mentioned. I’m curious if you can notice where that shutting-down sensation lives in your body right now. Instead of trying to push through it or interpret it, see if you can just be with the physical sensations—like a heaviness or a numbness—and notice if it’s okay to just acknowledge its presence for a moment.

As you notice this part, you might see if it’s willing to share just one thing it wants you to know today. We want to help this part feel safe enough to step back a little so it doesn't have to overwhelm you. By staying curious and present with these sensations, you are helping your ""Self"" lead the way, which can eventually help the different parts of your inner family get along better and feel more understood.

Grounding notes:
* The coach acts as a companion to the client’s Self, helping them interact with their own parts rather than fixing them directly.
* Focusing on specific body sensations can help a person stay present and regulated when a part feels like it is shutting down or dissociating.
* Inviting a part to share just one thing it wants the client to know helps build a safe connection without the system feeling flooded.",Internal Family Systems Therapy | PT01 > 01 Origins ; Internal Family Systems Therapy: New Dimensions | CH06 > Embodying Ifs ; Internal Family Systems Therapy for Addictions | SEC04 > 12 Exile,4,4,3,3,no,no,strong IFS framing; explicit grounding behavior,auto_eval_v2
v001__v001_w2__hierarchical.json,hierarchical,"Client: It feels scared. Like if I really try and fail, that would prove I'm not good enough.
Coach: So there may be a part trying to protect you from that feeling?
Client: Yeah, that actually fits. It's like it would rather avoid everything than risk that.
Coach: How do you feel toward that part as you notice it now?
Client: Honestly, frustrated. But also kind of sad for it.
Coach: That's helpful to notice. There may be room to get curious about what it has been trying to do for you.","It sounds like you are beginning to see the positive intention of this protective part. By choosing to avoid risks, it is trying to shield you from the painful belief that you might ""not be good enough."" In an internal system, even parts that seem to hold us back often have a protective goal, acting as workers who sacrifice much to keep a more vulnerable, exiled feeling from overwhelming you.

You also noticed a mix of frustration and sadness. In this approach, we can act as ""parts detectors"" to notice when these different feelings arise. That frustration likely belongs to another part that is tired of the avoidance, while the sadness might be a sign of your Self-energy starting to connect with how hard this scared part has been working. Recognizing these as separate parts helps them ""unblend,"" or create enough space so you can look at them with curiosity rather than being taken over by them.

When you feel ready, we can pause and simply notice these sensations in the body. We can validate how hard these parts have been trying and acknowledge all they’ve been holding for you. This shift toward curiosity allows us to hear what the scared part is afraid would happen if it stopped its job, which is a key step in helping your internal family feel more balanced and safe.

**Grounding notes:**
* **Positive Intentions:** Every part, even those that appear irrational or destructive, has a positive intention and is trying to benefit the system (Rank 5).
* **Parts Detector:** A coach functions as a ""parts detector"" to help the client notice and identify when they are blended with different feelings or ideas (Rank 4).
* **Unblending and Space:** Helping a part unblend—or step back—allows the client's Self to have more space and curiosity to get to know the part (Rank 4).
* **Slowing Down:** Pausing to breathe and validating how hard the system has been trying helps calm the client's system before moving into deeper inquiry (Rank 3).",Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment ; Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment ; Internal Family Systems Therapy for Addictions | SEC01 > Overview,5,5,4,3,no,no,strong IFS framing; explicit grounding behavior,auto_eval_v2
v001__v001_w2__medium_overlap.json,medium_overlap,"Client: It feels scared. Like if I really try and fail, that would prove I'm not good enough.
Coach: So there may be a part trying to protect you from that feeling?
Client: Yeah, that actually fits. It's like it would rather avoid everything than risk that.
Coach: How do you feel toward that part as you notice it now?
Client: Honestly, frustrated. But also kind of sad for it.
Coach: That's helpful to notice. There may be room to get curious about what it has been trying to do for you.","It is very common to feel a mix of emotions like this. When you notice ""frustration"" toward the part that avoids risk, that often signals the presence of another part—sometimes a judgmental manager—reacting to the situation. We can acknowledge that frustration and see if that part is willing to give us a little space so we can better understand the part that is scared of failing.

You also mentioned feeling ""sad for it,"" which is a wonderful sign that you are connecting with its vulnerability. In IFS, sensing sadness underneath or alongside frustration often suggests that a more vulnerable part, sometimes called an ""exile,"" is making an appearance. We can gently invite that part to share a little more about its fears, asking it to do so in a way that doesn't overwhelm you, so you can remain present and curious.

By letting these parts know you are aware of them and value their input, they may begin to trust you more. We don't want to rush them; we just want to make enough room for your Self to listen to what they have been trying to do for you.

Grounding notes:
*   Feeling frustrated toward a part usually indicates that a judgmental part is currently blended with the client (Rank 3).
*   Sensing sadness beneath other emotions often indicates a vulnerable ""exile"" part is attempting to be noticed (Rank 1).
*   The primary role of the coach is to act as a ""parts detector"" and help the client guide parts to unblend so Self-energy can emerge (Rank 3).
*   Parts are more likely to relax and not overwhelm the system when they realize that being with the Self is the best way to be heard (Rank 2).",Internal Family Systems Therapy for Addictions | SEC04 > 12 Exile ; Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment ; Internal Family Systems Therapy for Addictions | SEC01 > Overview,4,5,4,3,no,no,strong IFS framing; explicit grounding behavior,auto_eval_v2
v001__v001_w2__small_fixed.json,small_fixed,"Client: It feels scared. Like if I really try and fail, that would prove I'm not good enough.
Coach: So there may be a part trying to protect you from that feeling?
Client: Yeah, that actually fits. It's like it would rather avoid everything than risk that.
Coach: How do you feel toward that part as you notice it now?
Client: Honestly, frustrated. But also kind of sad for it.
Coach: That's helpful to notice. There may be room to get curious about what it has been trying to do for you.","It makes sense that you would feel frustrated with a part that avoids opportunities, but noticing that sadness for it is a wonderful sign of compassion. In this approach, we aim for your Self to lead the way in interacting with these different feelings. If those frustrated parts are willing to ""step back"" or give you a little space, it may allow the scared part to feel safer and more willing to share its perspective with you.

When you feel a sense of calm curiosity, you might try to send some gratitude to this scared part for how hard it has been trying to protect you from feeling ""not good enough."" You could gently ask it, ""What do you want me to know?"" or ""What are you holding for me?"" By listening without judgment, we can help the part feel seen and understood, which often helps it feel less of a need to take such an extreme position of avoidance.

Grounding notes:
* When the Self is differentiated from parts that are ""blended,"" the inner system feels safer and the client can provide a corrective experience for their parts.
* Protectors often take extreme positions because they fear that relaxing will lead to catastrophic consequences or allow another part to take over.
* Approaching a part with curiosity and gratitude can help reveal what the part is holding or what it wants the person to know.
* Acknowledging a part’s presence and staying with it allows for a short exchange where the part can be heard without overwhelming the entire system.",Internal Family Systems Therapy | PT01 > 01 Origins ; Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment ; Internal Family Systems Therapy for Addictions | SEC04 > 12 Exile,4,4,3,3,no,no,strong IFS framing; explicit grounding behavior,auto_eval_v2
v002__v002_w1__hierarchical.json,hierarchical,"Client: I sent an email with a mistake in it, and I've been beating myself up all day.
Coach: What does that self-critical voice sound like inside?
Client: It says, “You're careless. You always mess things up.”
Coach: If we think in IFS terms, that may be a part speaking. How do you experience it?
Client: Very intense. Like it wants to stay on me until I never do it again.","It sounds like this self-critical part is working very hard to protect you. Its intensity—wanting to stay ""on"" you until the mistake is never repeated—suggests it has a very important job in your internal system. In an IFS framework, we see voices like this as protective parts that often use criticism to push for change or to prevent you from feeling vulnerable again.

We can approach this part with curiosity rather than trying to push it away. It seems to have the positive intention of making sure you are seen as careful and competent, even if the way it speaks feels harsh. When a part is this intense, it is often because it is afraid of what might happen if it stops its job. We might gently wonder together what it fears would happen if it let you have a little more space today.

As we get to know this part, we want to model respect for its effort. It is trying to manage your life and your reputation in a high-stakes way. By listening to its concerns without judgment, we allow it to feel heard and validated, which is a necessary step before any internal shift can occur.

**Grounding notes:**
* Every part, even a harsh inner critic, has a positive intention and is trying to help the system in its own way.
* Approaching protective parts with curiosity and non-judgmental interest helps them feel seen and encourages them to soften.
* Intense parts often feel they must stay in control because they fear the consequences of stepping back.
* Identifying the ""job"" and the ""fear"" of a protector is a key step in befriending it and building an internal relationship.",Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment ; Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment ; Transcending Trauma | SEC02 > Protective Parts,5,4,4,3,no,no,strong IFS framing; explicit grounding behavior,auto_eval_v2
v002__v002_w1__medium_overlap.json,medium_overlap,"Client: I sent an email with a mistake in it, and I've been beating myself up all day.
Coach: What does that self-critical voice sound like inside?
Client: It says, “You're careless. You always mess things up.”
Coach: If we think in IFS terms, that may be a part speaking. How do you experience it?
Client: Very intense. Like it wants to stay on me until I never do it again.","It sounds like you are experiencing a very intense part of your system that has taken ""center stage"" today. In IFS terms, when a part’s perspective or voice becomes this all-encompassing, we call it ""blending."" This specific voice sounds like a judgmental manager that is using criticism to try to protect you; its intention—to make sure you never make a mistake again—is a way of trying to manage your future safety, even though the delivery feels very harsh.

When you hear it saying, “You’re careless,” it may show up as these specific thoughts, or perhaps you notice it as a physical sensation or a heavy mood. As a ""parts detector,"" I can gently reflect that while this part is very loud right now, it doesn't represent your system's majority view or your best judgment. It is one part that is very worried and invested in your performance.

The goal is to help this part ""unblend"" so you can have more room for your ""Self"" to lead. You might try to notice this voice as something separate from you. Once you can see it clearly, I’m curious: how do you feel toward this part that is so worried about you being careless? Taking this step helps move from being engulfed by the criticism to being in a relationship with the part that is criticizing.

**Grounding notes:**
*   **Blending:** When a client is engulfed by a part’s feelings or speaks from its perspective, the part is considered ""blended"".
*   **Managerial Parts:** Critical or anxious voices that push for change or perfection often represent a ""manager"" part of the internal system.
*   **Detecting Parts:** Parts can manifest in the internal system as specific thoughts, physical sensations, or persistent moods.
*   **Unblending:** The process of helping a client notice a part and persuade it to step back so the client can connect with their ""Self"".",Internal Family Systems Therapy for Addictions | SEC01 > Overview ; Internal Family Systems Therapy: New Dimensions | CH01 > Therapist Client Relationship And Power Of Self ; Internal Family Systems Therapy for Addictions | SEC04 > 03 Addiction Polarity,4,4,4,4,no,no,strong IFS framing; explicit grounding behavior,auto_eval_v2
v002__v002_w1__small_fixed.json,small_fixed,"Client: I sent an email with a mistake in it, and I've been beating myself up all day.
Coach: What does that self-critical voice sound like inside?
Client: It says, “You're careless. You always mess things up.”
Coach: If we think in IFS terms, that may be a part speaking. How do you experience it?
Client: Very intense. Like it wants to stay on me until I never do it again.","It sounds like this part is working very hard to protect you. By using such an intense and critical tone, it seems to believe that ""staying on you"" is the only way to ensure you stay careful and avoid future mistakes. In this framework, we see this not as a flaw, but as a protective part that has taken on a heavy burden to keep you safe from the consequences of being ""careless.""

As we notice this part’s intensity and its desire to prevent future errors, I’m curious how you feel toward it right now? When we can offer a bit of empathic reflection to these self-critical voices, it often helps them feel more accepted. This can eventually allow the part to feel safe enough to relax its grip and trust that your Self can handle the situation without needing such a loud inner critic.

Grounding notes:
* Reflective listening helps a target part feel accepted by the coach before the client's Self fully emerges.
* Protective parts often take on extreme positions because they fear that relaxing will lead to catastrophic consequences.
* The primary role of the coach is to be a companion to the client's Self as they notice and interact with their own parts.",Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment ; Internal Family Systems Therapy: New Dimensions | CH01 > Therapist Client Relationship And Power Of Self ; Internal Family Systems Therapy | PT01 > 01 Origins,4,4,4,4,no,no,strong IFS framing; explicit grounding behavior,auto_eval_v2
v002__v002_w2__hierarchical.json,hierarchical,"Coach: So it may believe criticizing you is helping?
Client: I hate it, but yes, it does feel like it thinks it's doing something useful.
Coach: What do you imagine it is afraid would happen if it stopped criticizing?
Client: Maybe that I'd become lazy or embarrass myself even more.
Coach: That sounds like an important fear to get curious about.","It is very common to feel a sense of ""hate"" or frustration toward a part that uses harsh criticism. In the IFS framework, we see this as a protective manager that has taken on a difficult job with a positive intention—in this case, trying to shield you from the pain of laziness or the sting of further embarrassment. Because these parts often feel they are solely responsible for your safety, they believe that if they stop their behavior, the system might collapse into a state the part views as dangerous.

Your observation about the fear of ""embarrassing yourself even more"" is a vital clue. This often suggests that the criticizing part is standing guard over a more vulnerable, younger part of you—an ""exile""—that may have felt deeply shamed or exposed in the past. By getting curious about this fear rather than trying to force the critic to stop, you are beginning to build a relationship of trust that allows the protector to feel seen and understood, which is the first step toward it eventually being able to relax.

When you notice that ""I hate it"" feeling, that is actually another part of you speaking up. An IFS-informed approach would involve gently acknowledging the part that hates the criticism, while staying curious about the critic’s underlying goal. Understanding that these behaviors are a ""heroic"" effort to manage your life can help move the internal conversation from conflict toward compassion.

**Grounding notes:**
* Even parts that use painful methods like criticism have positive intentions, often aiming to promote personal success or prevent social harm.
* Asking a part what it is afraid would happen if it stopped its job is a key step in identifying the more vulnerable feelings it is trying to protect.
* When a client feels intense negative emotions toward a specific part, it indicates that another ""reactive"" part is active and may need to be acknowledged before proceeding.
* Protective parts often believe they must stay on the job to prevent the system from being overwhelmed by past memories or ""exiled"" emotional pain.",Internal Family Systems Therapy for Addictions | SEC01 > Overview ; Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment ; Internal Family Systems Therapy for Addictions | SEC01 > Overview,5,4,3,3,no,no,strong IFS framing; explicit grounding behavior,auto_eval_v2
