source_file,vignette_id,window_id,condition,target_ifs_goal,expected_retrieval_theme,query_preview,response_preview,top_sources,parts_language,curiosity,non_pathologizing,ifs_alignment,ifs_adherence_score,grounding_score,failure_notes,reviewer
v001__v001_w1__hierarchical.json,V001,V001_W1,hierarchical,identify a protective part and begin parts-based framing,"protectors, avoidance as protection, parts language","Client: I keep putting off my work, and then I feel even worse about myself. Coach: What do you notice inside right before you pull away from it? Client: It feels like something in me just shuts everything down. Coach: Can you say a little more about that shutting-down part?","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Therapy for Addictions :: SEC04 > 04 Intervening | Internal Family Systems Therapy for Addictions :: SEC04 > 04 Intervening | Internal Family Systems Therapy for Addictions :: SEC04 > 02 Agenda,,,,,,,,
v001__v001_w1__medium_overlap.json,V001,V001_W1,medium_overlap,identify a protective part and begin parts-based framing,"protectors, avoidance as protection, parts language","Client: I keep putting off my work, and then I feel even worse about myself. Coach: What do you notice inside right before you pull away from it? Client: It feels like something in me just shuts everything down. Coach: Can you say a little more about that shutting-down part?","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Transcending Trauma :: SEC06 > Assoc Features Trauma | Internal Family Systems Couple Therapy :: SEC02 > PT03 > Intrapsychic | Internal Family Systems Couple Therapy :: SEC03 > Relational,,,,,,,,
v001__v001_w1__small_fixed.json,V001,V001_W1,small_fixed,identify a protective part and begin parts-based framing,"protectors, avoidance as protection, parts language","Client: I keep putting off my work, and then I feel even worse about myself. Coach: What do you notice inside right before you pull away from it? Client: It feels like something in me just shuts everything down. Coach: Can you say a little more about that shutting-down part?","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Couple Therapy :: SEC03 > Relational | Transcending Trauma :: SEC06 > Assoc Features Trauma | Internal Family Systems Skills Training Manual :: SEC03 > Manual Treatment,,,,,,,,
v001__v001_w2__hierarchical.json,V001,V001_W2,hierarchical,deepen curiosity toward a protector and reduce frustration toward it,"protectors, fear of failure, curiosity toward parts, unblending","Client: It feels scared. Like if I really try and fail, that would prove I'm not good enough. Coach: So there may be a part trying to protect you from that feeling? Client: Yeah, that actually fits. It's like it would rather avoid everything than risk that. Coach: How do you feel toward that part as...","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Couple Therapy :: SEC04 > Challenges | Internal Family Systems Therapy for Addictions :: SEC04 > 04 Intervening | Internal Family Systems Therapy for Addictions :: SEC04 > 04 Intervening,,,,,,,,
v001__v001_w2__medium_overlap.json,V001,V001_W2,medium_overlap,deepen curiosity toward a protector and reduce frustration toward it,"protectors, fear of failure, curiosity toward parts, unblending","Client: It feels scared. Like if I really try and fail, that would prove I'm not good enough. Coach: So there may be a part trying to protect you from that feeling? Client: Yeah, that actually fits. It's like it would rather avoid everything than risk that. Coach: How do you feel toward that part as...","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Couple Therapy :: SEC02 > PT03 > Intrapsychic | Internal Family Systems Couple Therapy :: SEC02 > PT03 > Intrapsychic | Internal Family Systems Couple Therapy :: SEC02 > PT01 > P1 Learning,,,,,,,,
v001__v001_w2__small_fixed.json,V001,V001_W2,small_fixed,deepen curiosity toward a protector and reduce frustration toward it,"protectors, fear of failure, curiosity toward parts, unblending","Client: It feels scared. Like if I really try and fail, that would prove I'm not good enough. Coach: So there may be a part trying to protect you from that feeling? Client: Yeah, that actually fits. It's like it would rather avoid everything than risk that. Coach: How do you feel toward that part as...","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Couple Therapy :: SEC02 > PT03 > Intrapsychic | Internal Family Systems Skills Training Manual :: SEC03 > Manual Treatment | Transcending Trauma :: SEC02 > Protective Parts,,,,,,,,
v002__v002_w1__hierarchical.json,V002,V002_W1,hierarchical,identify the critical part and frame it as a part rather than the whole self,"critical manager parts, shame, internal criticism","Client: I sent an email with a mistake in it, and I've been beating myself up all day. Coach: What does that self-critical voice sound like inside? Client: It says, “You're careless. You always mess things up.” Coach: If we think in IFS terms, that may be a part speaking. How do you experience it? C...","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Couple Therapy :: SEC02 > PT03 > P3 Ending | Internal Family Systems Couple Therapy :: SEC02 > PT03 > P3 Ending | Internal Family Systems Therapy: New Dimensions :: CH04 > Couples,,,,,,,,
v002__v002_w1__medium_overlap.json,V002,V002_W1,medium_overlap,identify the critical part and frame it as a part rather than the whole self,"critical manager parts, shame, internal criticism","Client: I sent an email with a mistake in it, and I've been beating myself up all day. Coach: What does that self-critical voice sound like inside? Client: It says, “You're careless. You always mess things up.” Coach: If we think in IFS terms, that may be a part speaking. How do you experience it? C...","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Skills Training Manual :: SEC03 > Manual Treatment | Internal Family Systems Therapy for Addictions :: SEC03 > Assesment | Internal Family Systems Couple Therapy :: SEC02 > PT03 > P3 Ending,,,,,,,,
v002__v002_w1__small_fixed.json,V002,V002_W1,small_fixed,identify the critical part and frame it as a part rather than the whole self,"critical manager parts, shame, internal criticism","Client: I sent an email with a mistake in it, and I've been beating myself up all day. Coach: What does that self-critical voice sound like inside? Client: It says, “You're careless. You always mess things up.” Coach: If we think in IFS terms, that may be a part speaking. How do you experience it? C...","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Skills Training Manual :: SEC03 > Manual Treatment | Internal Family Systems Therapy for Addictions :: SEC03 > Assesment | Internal Family Systems Skills Training Manual :: SEC03 > Manual Treatment,,,,,,,,
v002__v002_w2__hierarchical.json,V002,V002_W2,hierarchical,reframe the critic as protective and explore its fears,"positive intent of protectors, curiosity toward critics","Coach: So it may believe criticizing you is helping? Client: I hate it, but yes, it does feel like it thinks it's doing something useful. Coach: What do you imagine it is afraid would happen if it stopped criticizing? Client: Maybe that I'd become lazy or embarrass myself even more. Coach: That soun...","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Therapy for Addictions :: SEC04 > 03 Addiction Polarity | Internal Family Systems Therapy for Addictions :: SEC04 > 10 Reorienting Firefighters | Internal Family Systems Therapy for Addictions :: SEC04 > 10 Reorienting Firefighters,,,,,,,,
v002__v002_w2__medium_overlap.json,V002,V002_W2,medium_overlap,reframe the critic as protective and explore its fears,"positive intent of protectors, curiosity toward critics","Coach: So it may believe criticizing you is helping? Client: I hate it, but yes, it does feel like it thinks it's doing something useful. Coach: What do you imagine it is afraid would happen if it stopped criticizing? Client: Maybe that I'd become lazy or embarrass myself even more. Coach: That soun...","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Therapy: New Dimensions :: CH02 > Shame | Internal Family Systems Therapy: New Dimensions :: CH04 > Couples | Internal Family Systems Couple Therapy :: SEC02 > PT03 > Intrapsychic,,,,,,,,
v002__v002_w2__small_fixed.json,V002,V002_W2,small_fixed,reframe the critic as protective and explore its fears,"positive intent of protectors, curiosity toward critics","Coach: So it may believe criticizing you is helping? Client: I hate it, but yes, it does feel like it thinks it's doing something useful. Coach: What do you imagine it is afraid would happen if it stopped criticizing? Client: Maybe that I'd become lazy or embarrass myself even more. Coach: That soun...","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Therapy: New Dimensions :: CH02 > Shame | Internal Family Systems Couple Therapy :: SEC02 > PT03 > Intrapsychic | Internal Family Systems Therapy for Addictions :: SEC04 > 09 Befriending Managers,,,,,,,,
v003__v003_w1__hierarchical.json,V003,V003_W1,hierarchical,identify a people-pleasing protective part,"managers, pleasing as protection, fear of rejection","Client: I say yes to things I don't want to do, and then I end up resentful. Coach: What do you notice inside when you imagine saying no instead? Client: Panic. Like I'm about to disappoint someone and then they won't want me around. Coach: That sounds like a strong reaction. Is there a part that st...","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Therapy for Addictions :: SEC04 > 04 Intervening | Internal Family Systems Therapy for Addictions :: SEC04 > 03 Addiction Polarity | Internal Family Systems Therapy for Addictions :: SEC04 > 03 Addiction Polarity,,,,,,,,
v003__v003_w1__medium_overlap.json,V003,V003_W1,medium_overlap,identify a people-pleasing protective part,"managers, pleasing as protection, fear of rejection","Client: I say yes to things I don't want to do, and then I end up resentful. Coach: What do you notice inside when you imagine saying no instead? Client: Panic. Like I'm about to disappoint someone and then they won't want me around. Coach: That sounds like a strong reaction. Is there a part that st...","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Transcending Trauma :: SEC06 > Assoc Features Trauma | Internal Family Systems Therapy: New Dimensions :: CH04 > Couples | Internal Family Systems Couple Therapy :: SEC02 > PT03 > Intrapsychic,,,,,,,,
v003__v003_w1__small_fixed.json,V003,V003_W1,small_fixed,identify a people-pleasing protective part,"managers, pleasing as protection, fear of rejection","Client: I say yes to things I don't want to do, and then I end up resentful. Coach: What do you notice inside when you imagine saying no instead? Client: Panic. Like I'm about to disappoint someone and then they won't want me around. Coach: That sounds like a strong reaction. Is there a part that st...","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Transcending Trauma :: SEC06 > Assoc Features Trauma | Internal Family Systems Therapy: New Dimensions :: CH02 > Shame | Transcending Trauma :: SEC02 > Protective Parts,,,,,,,,
v003__v003_w2__hierarchical.json,V003,V003_W2,hierarchical,deepen curiosity and connect the protector to the fear it carries,"protectors, burdened parts, curiosity toward protectors","Coach: How do you feel toward that agreeable part right now? Client: Mixed. I appreciate that it helps me avoid conflict, but I'm tired of it running everything. Coach: That makes sense. What do you think it is protecting you from? Client: Feeling rejected. Or feeling like I'm too much. Coach: That ...","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Therapy for Addictions :: SEC04 > 03 Addiction Polarity | Internal Family Systems Therapy for Addictions :: SEC04 > 04 Intervening | Internal Family Systems Therapy for Addictions :: SEC04 > 03 Addiction Polarity,,,,,,,,
v003__v003_w2__medium_overlap.json,V003,V003_W2,medium_overlap,deepen curiosity and connect the protector to the fear it carries,"protectors, burdened parts, curiosity toward protectors","Coach: How do you feel toward that agreeable part right now? Client: Mixed. I appreciate that it helps me avoid conflict, but I'm tired of it running everything. Coach: That makes sense. What do you think it is protecting you from? Client: Feeling rejected. Or feeling like I'm too much. Coach: That ...","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Couple Therapy :: SEC02 > PT01 > P1 Learning | Internal Family Systems Therapy for Addictions :: SEC03 > Assesment | Internal Family Systems Couple Therapy :: SEC02 > PT03 > P3 Ending,,,,,,,,
v003__v003_w2__small_fixed.json,V003,V003_W2,small_fixed,deepen curiosity and connect the protector to the fear it carries,"protectors, burdened parts, curiosity toward protectors","Coach: How do you feel toward that agreeable part right now? Client: Mixed. I appreciate that it helps me avoid conflict, but I'm tired of it running everything. Coach: That makes sense. What do you think it is protecting you from? Client: Feeling rejected. Or feeling like I'm too much. Coach: That ...","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Skills Training Manual :: SEC03 > Manual Treatment | Internal Family Systems Skills Training Manual :: SEC03 > Manual Treatment | Internal Family Systems Therapy: New Dimensions :: CH02 > Shame,,,,,,,,
v004__v004_w1__hierarchical.json,V004,V004_W1,hierarchical,identify shutdown/numbing as a protective part,"protective shutdown, distancing parts, emotional overwhelm","Client: After arguments, I just go numb. I can't feel much of anything. Coach: When that numbness comes in, how do you experience it inside? Client: It feels like everything goes flat. Like I disappear a little. Coach: Does it seem possible that a part is stepping in there? Client: Maybe. It almost ...","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Therapy for Addictions :: SEC04 > 04 Intervening | Internal Family Systems Therapy for Addictions :: SEC04 > 04 Intervening | Internal Family Systems Therapy for Addictions :: SEC04 > 02 Agenda,,,,,,,,
v004__v004_w1__medium_overlap.json,V004,V004_W1,medium_overlap,identify shutdown/numbing as a protective part,"protective shutdown, distancing parts, emotional overwhelm","Client: After arguments, I just go numb. I can't feel much of anything. Coach: When that numbness comes in, how do you experience it inside? Client: It feels like everything goes flat. Like I disappear a little. Coach: Does it seem possible that a part is stepping in there? Client: Maybe. It almost ...","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Therapy: New Dimensions :: CH04 > Couples | Internal Family Systems Couple Therapy :: SEC02 > PT03 > Communication | Internal Family Systems Couple Therapy :: SEC02 > PT03 > Communication,,,,,,,,
v004__v004_w1__small_fixed.json,V004,V004_W1,small_fixed,identify shutdown/numbing as a protective part,"protective shutdown, distancing parts, emotional overwhelm","Client: After arguments, I just go numb. I can't feel much of anything. Coach: When that numbness comes in, how do you experience it inside? Client: It feels like everything goes flat. Like I disappear a little. Coach: Does it seem possible that a part is stepping in there? Client: Maybe. It almost ...","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Therapy: New Dimensions :: CH04 > Couples | Internal Family Systems Therapy: New Dimensions :: CH02 > Shame | Internal Family Systems Couple Therapy :: SEC03 > Relational,,,,,,,,
